drug,input_type,model,split,accuracy,precision,recall,f1,specificity,auc_roc
streptomycin,snp,lr,val,0.8918918918918919,0.7777777777777778,0.8536585365853658,0.813953488372093,0.9065420560747663,0.9076817870982449
streptomycin,snp,lr,test,0.912751677852349,0.7959183673469388,0.9285714285714286,0.8571428571428571,0.9065420560747663,0.9559412550066755
