drug,input_type,model,split,accuracy,precision,recall,f1,specificity,auc_roc
rifampicin,snp_pan,rf,val,0.865546218487395,0.8518518518518519,0.6571428571428571,0.7419354838709677,0.9523809523809523,0.8819727891156462
rifampicin,snp_pan,rf,test,0.7916666666666666,0.6785714285714286,0.5428571428571428,0.6031746031746031,0.8941176470588236,0.8544537815126051
