drug,input_type,model,split,accuracy,precision,recall,f1,specificity,auc_roc
rifampicin,snp_card,lr,val,0.8909090909090909,0.8333333333333334,0.78125,0.8064516129032258,0.9358974358974359,0.9375000000000001
rifampicin,snp_card,lr,test,0.9272727272727272,0.9259259259259259,0.8064516129032258,0.8620689655172413,0.9746835443037974,0.9877501020824827
