drug,input_type,model,split,accuracy,precision,recall,f1,specificity,auc_roc
streptomycin,snp_pan_card,rf,val,0.7272727272727273,0.0,0.0,0.0,1.0,0.7916666666666666
streptomycin,snp_pan_card,rf,test,0.8333333333333334,1.0,0.5,0.6666666666666666,1.0,0.65625
