drug,input_type,model,split,accuracy,precision,recall,f1,specificity,auc_roc
streptomycin,card,rf,val,0.64,0.0,0.0,0.0,0.9411764705882353,0.39705882352941174
streptomycin,card,rf,test,0.72,1.0,0.06666666666666667,0.125,1.0,0.5533333333333333
