drug,input_type,model,split,accuracy,precision,recall,f1,specificity,auc_roc
rifampicin,snp_pan_card,rf,val,0.75,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.8095238095238095,0.8701298701298701
rifampicin,snp_pan_card,rf,test,0.7878787878787878,0.7,0.6363636363636364,0.6666666666666666,0.8636363636363636,0.7727272727272727
