drug,input_type,model,split,accuracy,precision,recall,f1,specificity,auc_roc
streptomycin,snp_card,lr,val,0.78,0.7272727272727273,0.5,0.5925925925925926,0.9117647058823529,0.8621323529411765
streptomycin,snp_card,lr,test,0.96,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9714285714285714,0.9866666666666666
