model,drug,input_type,split,auc,fpr,tpr
rf,isoniazid,card,val,0.5475438596491229,0.0,0.0
rf,isoniazid,card,val,0.5475438596491229,0.02666666666666667,0.02631578947368421
rf,isoniazid,card,val,0.5475438596491229,0.56,0.6578947368421053
rf,isoniazid,card,val,0.5475438596491229,1.0,1.0
rf,isoniazid,card,test,0.4980701754385965,0.0,0.0
rf,isoniazid,card,test,0.4980701754385965,0.04,0.0
rf,isoniazid,card,test,0.4980701754385965,0.64,0.6578947368421053
rf,isoniazid,card,test,0.4980701754385965,0.9866666666666667,1.0
rf,isoniazid,card,test,0.4980701754385965,1.0,1.0
