drug,input_type,model,split,accuracy,precision,recall,f1,specificity,auc_roc
streptomycin,card,lr,val,0.68,0.0,0.0,0.0,1.0,0.5
streptomycin,card,lr,test,0.7,0.0,0.0,0.0,1.0,0.5
