model,drug,input_type,split,auc,fpr,tpr
lr,rifampicin,snp,val,0.9668349083619703,0.0,0.0
lr,rifampicin,snp,val,0.9668349083619703,0.0,0.010309278350515464
lr,rifampicin,snp,val,0.9668349083619703,0.0,0.030927835051546393
lr,rifampicin,snp,val,0.9668349083619703,0.0,0.061855670103092786
lr,rifampicin,snp,val,0.9668349083619703,0.0,0.07216494845360824
lr,rifampicin,snp,val,0.9668349083619703,0.0,0.1134020618556701
lr,rifampicin,snp,val,0.9668349083619703,0.0,0.12371134020618557
lr,rifampicin,snp,val,0.9668349083619703,0.0,0.14432989690721648
lr,rifampicin,snp,val,0.9668349083619703,0.0,0.6288659793814433
lr,rifampicin,snp,val,0.9668349083619703,0.0,0.6494845360824743
lr,rifampicin,snp,val,0.9668349083619703,0.0,0.7731958762886598
lr,rifampicin,snp,val,0.9668349083619703,0.010416666666666666,0.7731958762886598
lr,rifampicin,snp,val,0.9668349083619703,0.010416666666666666,0.8144329896907216
lr,rifampicin,snp,val,0.9668349083619703,0.017361111111111112,0.8144329896907216
lr,rifampicin,snp,val,0.9668349083619703,0.020833333333333332,0.8144329896907216
lr,rifampicin,snp,val,0.9668349083619703,0.020833333333333332,0.8350515463917526
lr,rifampicin,snp,val,0.9668349083619703,0.024305555555555556,0.8350515463917526
lr,rifampicin,snp,val,0.9668349083619703,0.024305555555555556,0.8556701030927835
lr,rifampicin,snp,val,0.9668349083619703,0.059027777777777776,0.8556701030927835
lr,rifampicin,snp,val,0.9668349083619703,0.059027777777777776,0.865979381443299
lr,rifampicin,snp,val,0.9668349083619703,0.0625,0.865979381443299
lr,rifampicin,snp,val,0.9668349083619703,0.0625,0.8762886597938144
lr,rifampicin,snp,val,0.9668349083619703,0.06597222222222222,0.8762886597938144
lr,rifampicin,snp,val,0.9668349083619703,0.06597222222222222,0.8865979381443299
lr,rifampicin,snp,val,0.9668349083619703,0.07291666666666667,0.8865979381443299
lr,rifampicin,snp,val,0.9668349083619703,0.07291666666666667,0.8969072164948454
lr,rifampicin,snp,val,0.9668349083619703,0.08680555555555555,0.8969072164948454
lr,rifampicin,snp,val,0.9668349083619703,0.08680555555555555,0.9175257731958762
lr,rifampicin,snp,val,0.9668349083619703,0.10069444444444445,0.9175257731958762
lr,rifampicin,snp,val,0.9668349083619703,0.10069444444444445,0.9278350515463918
lr,rifampicin,snp,val,0.9668349083619703,0.1111111111111111,0.9278350515463918
